E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
341361.5 eV ; 50.00000 eV ; 1.903932E-7 % ; 1.9417E-8 % ; 1.903932E-9 ; 1.94170E-10
341583.2 eV ; 70.00114 eV ; 2.77134E-5 % ; 2.558972E-6 % ; 2.771340E-7 ; 2.558972E-8
343213.7 eV ; 70.00179 eV ; 6.40458E-6 % ; 5.915184E-7 % ; 6.404580E-8 ; 5.915184E-9
343591.5 eV ; 70.00000 eV ; 9.40134E-7 % ; 8.69854E-8 % ; 9.401340E-9 ; 8.69854E-10
364681.5 eV ; 60.00208 eV ; 5.27799E-5 % ; 3.805903E-6 % ; 5.277990E-7 ; 3.805903E-8
367764.2 eV ; 170.0007 eV ; 4.0392E-6 % ; 7.595389E-7 % ; 4.039200E-8 ; 7.595389E-9
374763.2 eV ; 170.0005 eV ; 8.9352E-7 % ; 1.484501E-7 % ; 8.935200E-9 ; 1.484501E-9
376393.7 eV ; 170.0007 eV ; 2.0808E-7 % ; 3.83845E-8 % ; 2.080800E-9 ; 3.83845E-10
376771.5 eV ; 170.0000 eV ; 2.9376E-8 % ; 5.88845E-9 % ; 2.93760E-10 ; 5.88845E-11
409424.2 eV ; 60.00208 eV ; 7.316663E-6 % ; 5.261691E-7 % ; 7.316663E-8 ; 5.261691E-9
416423.2 eV ; 60.00133 eV ; 1.595484E-6 % ; 1.150097E-7 % ; 1.595484E-8 ; 1.150097E-9
418053.7 eV ; 60.00208 eV ; 3.66639E-7 % ; 2.64471E-8 % ; 3.666390E-9 ; 2.64471E-10
418431.5 eV ; 60.00000 eV ; 5.27799E-8 % ; 3.8059E-9 % ; 5.27799E-10 ; 3.80590E-11
421869.5 eV ; 19.00658 eV ; 8.878284E-5 % ; 7.508698E-6 % ; 8.878284E-7 ; 7.508698E-8
452891.5 eV ; 160.0008 eV ; 9.98988E-6 % ; 8.843273E-7 % ; 9.989880E-8 ; 8.843273E-9
466612.2 eV ; 19.00658 eV ; 1.221898E-5 % ; 1.034551E-6 % ; 1.221898E-7 ; 1.034551E-8
473611.2 eV ; 19.00421 eV ; 2.661669E-6 % ; 2.251118E-7 % ; 2.661669E-8 ; 2.251118E-9
475241.7 eV ; 19.00658 eV ; 6.118572E-7 % ; 5.1802E-8 % ; 6.118572E-9 ; 5.18020E-10
475619.5 eV ; 19.00000 eV ; 8.84197E-8 % ; 7.47886E-9 % ; 8.84197E-10 ; 7.47886E-11
496460.5 eV ; 27.00463 eV ; 5.431499E-4 % ; 1.850579E-4 % ; 0.000005431499 ; 0.000001850579
497634.2 eV ; 160.0008 eV ; 1.870986E-6 % ; 1.668877E-7 % ; 1.870986E-8 ; 1.668877E-9
504633.2 eV ; 160.0005 eV ; 4.207602E-7 % ; 3.72248E-8 % ; 4.207602E-9 ; 3.72248E-10
506263.7 eV ; 160.0008 eV ; 9.6343E-8 % ; 8.52313E-9 % ; 9.63430E-10 ; 8.52313E-11
506641.5 eV ; 160.0000 eV ; 1.33085E-8 % ; 1.17722E-9 % ; 1.33085E-10 ; 1.17722E-11
541203.2 eV ; 27.00463 eV ; 8.3283E-5 % ; 2.250595E-5 % ; 8.328300E-7 ; 2.250595E-7
548202.2 eV ; 27.00296 eV ; 1.8105E-5 % ; 4.182758E-6 % ; 1.810500E-7 ; 4.182758E-8
549832.7 eV ; 27.00463 eV ; 4.345199E-6 % ; 1.128697E-6 % ; 4.345199E-8 ; 1.128697E-8
550210.5 eV ; 27.00000 eV ; 6.1557E-7 % ; 1.861822E-7 % ; 6.155700E-9 ; 1.861822E-9
